[['08', '26', '2018'], '09:00', '12:00', 'UAS Flight Day']
[['11', '23', '2018'], '12:00', '12:50', 'CSC 150']
[['11', '23', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '26', '2018'], '09:00', '09:50', 'Physics']
[['11', '26', '2018'], '10:00', '10:50', 'Geology']
[['11', '26', '2018'], '12:00', '12:50', 'CSC 150']
[['11', '26', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '26', '2018'], '16:00', '17:00', 'UAS Meeting']
[['11', '27', '2018'], '08:00', '10:50', 'Geology Lab']
[['11', '27', '2018'], '14:00', '15:50', 'CSC 150 Lab']
[['11', '28', '2018'], '09:00', '09:50', 'Physics']
[['11', '28', '2018'], '10:00', '10:50', 'Geology']
[['11', '28', '2018'], '12:00', '12:50', 'CSC 150']
[['11', '28', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '29', '2018'], '15:00', '15:50', 'Calc 1']
[['11', '30', '2018'], '09:00', '09:50', 'Physics']
[['11', '30', '2018'], '10:00', '10:50', 'Geology']
[['11', '30', '2018'], '12:00', '12:50', 'CSC 150']
[['11', '30', '2018'], '15:00', '15:50', 'Calc 1']
[['12', '03', '2018'], '09:00', '09:50', 'Physics']
[['12', '03', '2018'], '10:00', '10:50', 'Geology']
[['12', '03', '2018'], '12:00', '12:50', 'CSC 150']
[['12', '03', '2018'], '15:00', '15:50', 'Calc 1']
[['12', '03', '2018'], '16:00', '17:00', 'UAS Meeting']
[['12', '04', '2018'], '08:00', '10:50', 'Geology Lab']
[['12', '04', '2018'], '14:00', '15:50', 'CSC 150 Lab']
